;; Symbol-to-symbol Distance Function.
* on symbols as defined in pcode: 'pcdsrip1.txt'
;; symbol-symbol distances generated by WOD2
;; using lower codesets:
;;   pcdsrif.txt
* written in external format: 'NIST1'
;; time/date of run: Wed Jan 31 09:30:55 1990
* function is symmetric
* default value = 6
;; (no. of different ppf values = 17)
;; i sym   j sym  fval[i][j]
     aa    ax+1       5
     aa      ax       4
     aa    ux+1       8
     aa      ux       7
     aa     axd       5
     aa      ix       5
     aa      wh       8
     aa       w       7
     aa       y       7
     aa       r       5
     aa       l       8
     aa      el       7
     aa      em       7
     aa      en       7
     aa     eng       7
     aa       m       8
     aa       n       8
     aa      ng       8
     aa     bcl       9
     aa     dcl       9
     aa     gcl       9
     aa     kcl      10
     aa     pcl      10
     aa     tcl      10
     aa       p      10
     aa       b       9
     aa       t      10
     aa       d       9
     aa       k      10
     aa       g       9
     aa      ch      12
     aa      jh      11
     aa      dx       8
     aa      nx       9
     aa       f       9
     aa       v       8
     aa      th       9
     aa      dh       8
     aa       s       9
     aa       z       8
     aa      sh       9
     aa      zh       8
     aa       q       9
     aa      hh      10
     aa      hv       9
   ao+1      ao       1
   ao+1    ow+1       1
   ao+1      ow       2
   ao+1    uh+1       3
   ao+1      uh       4
   ao+1    uw+1       2
   ao+1      uw       3
   ao+1    ay+1       5
   ao+1    oy+1       2
   ao+1      oy       3
   ao+1    aw+1       4
   ao+1      aw       5
   ao+1    er+1       4
   ao+1      er       5
   ao+1   axr+1       5
   ao+1    ah+1       4
   ao+1      ah       5
   ao+1    ax+1       5
   ao+1    ux+1       4
   ao+1      ux       5
   ao+1     axd       7
   ao+1      ix       7
   ao+1      wh      10
   ao+1       w       9
   ao+1       y       9
   ao+1       r       7
   ao+1       l      10
   ao+1      el       9
   ao+1      em       9
   ao+1      en       9
   ao+1     eng       9
   ao+1       m      10
   ao+1       n      10
   ao+1      ng      10
   ao+1     bcl      11
   ao+1     dcl      11
   ao+1     gcl      11
   ao+1     kcl      12
   ao+1     pcl      12
   ao+1     tcl      12
   ao+1       p      12
   ao+1       b      11
   ao+1       t      12
   ao+1       d      11
   ao+1       k      12
   ao+1       g      11
   ao+1      ch      14
   ao+1      jh      13
   ao+1      dx      10
   ao+1      nx      11
   ao+1       f      11
   ao+1       v      10
   ao+1      th      11
   ao+1      dh      10
   ao+1       s      11
   ao+1       z      10
   ao+1      sh      11
   ao+1      zh      10
   ao+1       q      11
   ao+1      hh      12
   ao+1      hv      11
     ao    ow+1       2
     ao      ow       1
     ao    uh+1       4
     ao      uh       3
     ao    uw+1       3
     ao      uw       2
     ao      ay       5
     ao    oy+1       3
     ao      oy       2
     ao    aw+1       5
     ao      aw       4
     ao    er+1       5
     ao      er       4
     ao     axr       5
     ao    ah+1       5
     ao      ah       4
     ao      ax       5
     ao    ux+1       5
     ao      ux       4
     ao   axd+1       7
     ao    ix+1       7
     ao      wh       9
     ao       w       8
     ao       y       8
     ao       l       9
     ao      el       8
     ao      em       8
     ao      en       8
     ao     eng       8
     ao       m       9
     ao       n       9
     ao      ng       9
     ao     bcl      10
     ao     dcl      10
     ao     gcl      10
     ao     kcl      11
     ao     pcl      11
     ao     tcl      11
     ao       p      11
     ao       b      10
     ao       t      11
     ao       d      10
     ao       k      11
     ao       g      10
     ao      ch      13
     ao      jh      12
     ao      dx       9
     ao      nx      10
     ao       f      10
     ao       v       9
     ao      th      10
     ao      dh       9
     ao       s      10
     ao       z       9
     ao      sh      10
     ao      zh       9
     ao       q      10
     ao      hh      11
     ao      hv      10
   ow+1      ow       1
   ow+1    uh+1       4
   ow+1      uh       5
   ow+1    uw+1       1
   ow+1      uw       2
   ow+1      ay       7
   ow+1    oy+1       3
   ow+1      oy       4
   ow+1    aw+1       3
   ow+1      aw       4
   ow+1    er+1       5
   ow+1     axr       7
   ow+1    ah+1       5
   ow+1      ax       7
   ow+1    ux+1       3
   ow+1      ux       4
   ow+1   axd+1       7
   ow+1     axd       8
   ow+1    ix+1       7
   ow+1      ix       8
   ow+1      wh      11
   ow+1       w      10
   ow+1       y      10
   ow+1       r       8
   ow+1       l      11
   ow+1      el      10
   ow+1      em      10
   ow+1      en      10
   ow+1     eng      10
   ow+1       m      11
   ow+1       n      11
   ow+1      ng      11
   ow+1     bcl      12
   ow+1     dcl      12
   ow+1     gcl      12
   ow+1     kcl      13
   ow+1     pcl      13
   ow+1     tcl      13
   ow+1       p      13
   ow+1       b      12
   ow+1       t      13
   ow+1       d      12
   ow+1       k      13
   ow+1       g      12
   ow+1      ch      15
   ow+1      jh      14
   ow+1      dx      11
   ow+1      nx      12
   ow+1       f      12
   ow+1       v      11
   ow+1      th      12
   ow+1      dh      11
   ow+1       s      12
   ow+1       z      11
   ow+1      sh      12
   ow+1      zh      11
   ow+1       q      12
   ow+1      hh      13
   ow+1      hv      12
     ow    uh+1       5
     ow      uh       4
     ow    uw+1       2
     ow      uw       1
     ow    ay+1       7
     ow    oy+1       4
     ow      oy       3
     ow    aw+1       4
     ow      aw       3
     ow      er       5
     ow   axr+1       7
     ow      ah       5
     ow    ax+1       7
     ow    ux+1       4
     ow      ux       3
     ow   axd+1       8
     ow     axd       7
     ow    ix+1       8
     ow      ix       7
     ow      wh      10
     ow       w       9
     ow       y       9
     ow       r       7
     ow       l      10
     ow      el       9
     ow      em       9
     ow      en       9
     ow     eng       9
     ow       m      10
     ow       n      10
     ow      ng      10
     ow     bcl      11
     ow     dcl      11
     ow     gcl      11
     ow     kcl      12
     ow     pcl      12
     ow     tcl      12
     ow       p      12
     ow       b      11
     ow       t      12
     ow       d      11
     ow       k      12
     ow       g      11
     ow      ch      14
     ow      jh      13
     ow      dx      10
     ow      nx      11
     ow       f      11
     ow       v      10
     ow      th      11
     ow      dh      10
     ow       s      11
     ow       z      10
     ow      sh      11
     ow      zh      10
     ow       q      11
     ow      hh      12
     ow      hv      11
   uh+1      uh       1
   uh+1    uw+1       3
   uh+1      uw       4
   uh+1    ay+1       8
   uh+1      ay       9
   uh+1    oy+1       5
   uh+1    aw+1       7
   uh+1      aw       8
   uh+1    er+1       3
   uh+1      er       4
   uh+1   axr+1       4
   uh+1     axr       5
   uh+1    ah+1       3
   uh+1      ah       4
   uh+1    ax+1       4
   uh+1      ax       5
   uh+1    ux+1       5
   uh+1   axd+1       5
   uh+1    ix+1       3
   uh+1      ix       4
   uh+1      wh      11
   uh+1       w      10
   uh+1       y      10
   uh+1       r       8
   uh+1       l      11
   uh+1      el      10
   uh+1      em      10
   uh+1      en      10
   uh+1     eng      10
   uh+1       m      11
   uh+1       n      11
   uh+1      ng      11
